#Perturbations,#Incorrect relationship mean,#Incorrect relationship std,#Incorrect gen relationship mean,#Incorrect gen relationship std,Noise Level
1,48.0,0.0,9.0,0.0,0.001
6,38.0,0.0,1.0,0.0,0.001
11,19.0,0.0,0.0,0.0,0.001
16,16.0,0.0,0.0,0.0,0.001
21,11.0,0.0,0.0,0.0,0.001
26,15.0,0.0,0.0,0.0,0.001
31,12.0,0.0,0.0,0.0,0.001
36,8.0,0.0,0.0,0.0,0.001
41,6.0,0.0,0.0,0.0,0.001
46,6.0,0.0,0.0,0.0,0.001
51,3.0,0.0,0.0,0.0,0.001
56,2.0,0.0,0.0,0.0,0.001
61,2.0,0.0,0.0,0.0,0.001
66,0.0,0.0,0.0,0.0,0.001
71,0.0,0.0,0.0,0.0,0.001
76,0.0,0.0,0.0,0.0,0.001
81,0.0,0.0,0.0,0.0,0.001
86,0.0,0.0,0.0,0.0,0.001
91,1.0,0.0,0.0,0.0,0.001
96,1.0,0.0,0.0,0.0,0.001
100,0.0,0.0,0.0,0.0,0.001
