#Perturbations,#Incorrect relationship mean,#Incorrect relationship std,#Incorrect gen relationship mean,#Incorrect gen relationship std,Noise Level
1,39.25,0.4330127018922193,0.5,0.8660254037844386,0.001
6,13.0,1.224744871391589,0.0,0.0,0.001
11,6.75,2.7726341266023544,0.0,0.0,0.001
16,4.75,3.031088913245535,0.0,0.0,0.001
21,2.5,0.5,0.0,0.0,0.001
26,1.5,0.5,0.0,0.0,0.001
31,0.75,0.82915619758885,0.0,0.0,0.001
36,0.75,0.82915619758885,0.0,0.0,0.001
41,1.0,1.0,0.0,0.0,0.001
46,0.5,0.5,0.0,0.0,0.001
51,1.0,1.0,0.0,0.0,0.001
56,0.75,0.82915619758885,0.0,0.0,0.001
61,0.0,0.0,0.0,0.0,0.001
66,0.0,0.0,0.0,0.0,0.001
71,0.0,0.0,0.0,0.0,0.001
76,0.0,0.0,0.0,0.0,0.001
81,0.0,0.0,0.0,0.0,0.001
86,0.0,0.0,0.0,0.0,0.001
91,0.0,0.0,0.0,0.0,0.001
96,0.0,0.0,0.0,0.0,0.001
100,0.0,0.0,0.0,0.0,0.001
