#Perturbations,#Incorrect relationship mean,#Incorrect relationship std,#Incorrect gen relationship mean,#Incorrect gen relationship std,Noise Level
1,0.5,0.8660254037844386,0.0,0.0,0
6,0.5,0.8660254037844386,0.0,0.0,0
11,0.0,0.0,0.0,0.0,0
16,0.0,0.0,0.0,0.0,0
21,0.0,0.0,0.0,0.0,0
26,0.0,0.0,0.0,0.0,0
31,0.0,0.0,0.0,0.0,0
36,0.0,0.0,0.0,0.0,0
41,0.0,0.0,0.0,0.0,0
46,0.0,0.0,0.0,0.0,0
51,0.0,0.0,0.0,0.0,0
56,0.0,0.0,0.0,0.0,0
61,0.0,0.0,0.0,0.0,0
66,0.0,0.0,0.0,0.0,0
71,0.0,0.0,0.0,0.0,0
76,0.0,0.0,0.0,0.0,0
81,0.0,0.0,0.0,0.0,0
86,0.0,0.0,0.0,0.0,0
91,0.0,0.0,0.0,0.0,0
96,0.0,0.0,0.0,0.0,0
100,0.0,0.0,0.0,0.0,0
