V,A,omega_R,D,H
1.0499,2.5,376.991118430775,50,10
0.982,6.34229999999998,376.991118430775,50,25.3691999999999
0.9841,6.5,376.991118430775,50,26
0.9972,6.32,376.991118430775,50,25.28
1.0123,5.08,376.991118430775,50,20.32
1.0494,6.5,376.991118430775,50,26
1.0636,5.6,376.991118430775,50,22.4
1.0275,5.4,376.991118430775,50,21.6
1.0265,8.3,376.991118430775,50,33.2
1.03,10,376.991118430775,50,40
1.0499,-0,376.991118430775,50,0
0.982,-0.092,376.991118430775,50,0
0.9841,-0,376.991118430775,50,0
0.9972,-0,376.991118430775,50,0
1.0123,-0,376.991118430775,50,0
1.0494,-0,376.991118430775,50,0
1.0636,-0,376.991118430775,50,0
1.0275,-0,376.991118430775,50,0
1.0265,-0,376.991118430775,50,0
1.03,-11.04,376.991118430775,50,0
1.04362185620233,-0.976,376.991118430775,50,0
1.05505186525058,-0,376.991118430775,50,0
1.04059075943098,-3.22,376.991118430775,50,0
1.01299210865209,-5,376.991118430775,50,0
1.01144568282011,-0,376.991118430775,50,0
1.0124545337479,-0,376.991118430775,50,0
1.00503229433209,-2.338,376.991118430775,50,0
1.00518555754551,-5.22,376.991118430775,50,0
1.04150347910342,-0.065,376.991118430775,50,0
1.01904647730702,-0,376.991118430775,50,0
1.01571355384768,-0,376.991118430775,50,0
1.0035449549295,-0.0853,376.991118430775,50,0
1.01778305113136,-0,376.991118430775,50,0
1.01890092426171,-0,376.991118430775,50,0
1.02571628762688,-3.2,376.991118430775,50,0
1.04043665941713,-3.29,376.991118430775,50,0
1.04328308192303,-0,376.991118430775,50,0
1.04162726785021,-1.58,376.991118430775,50,0
1.05323004555735,-0,376.991118430775,50,0
0.995402122813081,-6.8,376.991118430775,50,0
1.03766311186983,-2.74,376.991118430775,50,0
1.05073366797972,-0,376.991118430775,50,0
1.04630800859902,-2.475,376.991118430775,50,0
1.04588997534547,-3.086,376.991118430775,50,0
1.05289760626078,-2.24,376.991118430775,50,0
1.05820197759918,-1.39,376.991118430775,50,0
1.04762598507316,-2.81,376.991118430775,50,0
1.0559797567801,-2.06,376.991118430775,50,0
1.05285746404395,-2.835,376.991118430775,50,0
