t,X,Y,x,y
0.0166666666666666,472,730,-475,-10
0.0333333333333333,472,730,-475,-10
0.05,472,730,-475,-10
0.0666666666666666,472,730,-475,-10
0.0833333333333333,472,730,-475,-10
0.1,472,730,-475,-10
0.1166666666666666,472,730,-475,-10
0.1333333333333333,472,730,-475,-10
0.15,472,730,-475,-10
0.1666666666666666,472,730,-475,-10
0.1833333333333333,472,730,-475,-10
0.2,472,730,-475,-10
0.2166666666666666,472,730,-475,-10
0.2333333333333333,472,730,-475,-10
0.25,472,730,-475,-10
0.2666666666666666,472,730,-475,-10
0.2833333333333333,472,729,-475,-9
0.3,472,736,-475,-16
0.3166666666666666,472,737,-475,-17
0.3333333333333333,472,743,-475,-23
0.35,472,750,-475,-30
0.3666666666666666,472,759,-475,-39
0.3833333333333333,473,767,-474,-47
0.4,472,770,-475,-50
0.4166666666666667,479,786,-468,-66
0.4333333333333333,480,800,-467,-80
0.45,481,811,-466,-91
0.4666666666666667,488,827,-459,-107
0.4833333333333333,488,827,-459,-107
0.5,488,851,-459,-131
0.5166666666666666,499,876,-448,-156
0.5333333333333333,504,891,-443,-171
0.55,512,908,-435,-188
0.5666666666666667,517,919,-430,-199
0.5833333333333334,532,949,-415,-229
0.6,543,968,-404,-248
0.6166666666666667,558,991,-389,-271
0.6333333333333333,575,1008,-372,-288
0.65,581,1015,-366,-295
0.6666666666666666,608,1048,-339,-328
0.6833333333333333,616,1060,-331,-340
0.7,648,1087,-299,-367
0.7166666666666667,657,1094,-290,-374
0.7333333333333333,680,1111,-267,-391
0.75,695,1119,-252,-399
0.7666666666666666,729,1143,-218,-423
0.7833333333333333,758,1158,-189,-438
0.8,787,1164,-160,-444
0.8166666666666667,813,1175,-134,-455
0.8333333333333334,843,1181,-104,-461
0.85,890,1189,-57,-469
0.8666666666666667,906,1192,-41,-472
0.8833333333333333,936,1193,-11,-473
0.9,979,1193,32,-473
0.9166666666666666,1011,1191,64,-471
0.9333333333333332,1035,1185,88,-465
0.95,1064,1176,117,-456
0.9666666666666668,1095,1171,148,-451
0.9833333333333332,1106,1168,159,-448
1.0,1131,1155,184,-435
1.0166666666666666,1154,1148,207,-428
1.0333333333333332,1178,1135,231,-415
1.05,1201,1121,254,-401
1.0666666666666669,1231,1101,284,-381
1.0833333333333333,1239,1096,292,-376
1.1,1256,1081,309,-361
1.1166666666666667,1279,1060,332,-340
1.1333333333333333,1290,1047,343,-327
1.15,1304,1032,357,-312
1.1666666666666667,1308,1026,361,-306
1.1833333333333331,1318,1013,371,-293
