t,X,Y
0.008361751922433968,960,540
0.016723503844867937,404,424
0.025085255767301903,400,344
0.03344700768973587,384,361
0.041808759612169843,411,374
0.05017051153460381,412,395
0.05853226345703778,422,422
0.06689401537947175,432,452
0.07525576730190571,458,495
0.08361751922433969,472,518
0.09197927114677365,492,542
0.10034102306920761,517,567
0.10870277499164159,547,594
0.11706452691407555,569,621
0.12542627883650953,585,629
0.1337880307589435,687,653
0.14214978268137746,711,695
0.15051153460381142,753,720
0.1588732865262454,803,737
0.16723503844867937,855,750
0.17559679037111334,913,757
0.1839585422935473,968,762
0.19232029421598126,1020,761
0.20068204613841523,1076,759
0.20904379806084922,1132,749
0.21740554998328318,1187,737
0.22576730190571714,1237,720
0.2341290538281511,1285,699
0.24249080575058507,1330,675
0.25085255767301906,1372,651
0.259214309595453,1410,623
0.267576061517887,1443,595
0.275937813440321,1470,567
0.2842995653627549,1493,539
0.2926613172851889,1515,510
0.30102306920762284,1533,483
0.30938482113005683,1549,460
0.3177465730524908,1562,438
0.32610832497492476,1570,416
0.33447007689735875,1577,398
0.3428318288197927,1583,385
0.3511935807422267,1589,374
0.35955533266466067,1593,366
0.3679170845870946,1597,362
0.3762788365095286,1600,361
0.3846405884319625,1600,362
0.3930023403543965,1600,367
0.40136409227683045,1597,374
0.40972584419926444,1558,384
0.41808759612169843,1588,399
0.42644934804413237,1578,425
0.43481109996656636,1567,441
0.4431728518890003,1553,464
0.4515346038114343,1536,490
0.4598963557338683,1515,517
0.4682581076563022,1490,545
0.4766198595787362,1462,572
0.48498161150117014,1433,602
0.49334336342360413,1400,632
0.5017051153460381,1361,660
0.5100668672684721,1321,681
0.518428619190906,1273,710
0.52679037111334,1221,726
0.535152123035774,1170,750
0.5435138749582079,1115,755
0.551875626880642,1060,763
0.5602373788030759,1004,775
0.5685991307255098,950,763
0.5769608826479438,894,758
0.5853226345703778,840,747
0.5936843864928117,786,734
0.6020461384152457,740,712
0.6104078903376797,706,691
0.6187696422601137,685,650
0.6271313941825476,582,649
0.6354931461049816,565,618
0.6438548980274156,545,593
0.6522166499498495,517,568
0.6605784018722834,492,541
0.6689401537947175,472,515
0.6773019057171514,454,490
0.6856636576395854,440,467
0.6940254095620194,429,448
0.7023871614844533,420,434
0.7107489134068873,412,414
0.7191106653293213,403,404
0.7274724172517553,391,401
0.7358341691741892,402,350
0.7441959210966231,401,345
0.7525576730190572,401,345
0.7609194249414911,403,351
0.769281176863925,388,394
0.7776429287863591,403,407
0.786004680708793,412,419
0.794366432631227,422,440
0.8027281845536609,433,459
0.811089936476095,446,476
0.8194516883985289,461,499
0.8278134403209628,480,525
0.8361751922433969,502,553
0.8445369441658308,528,580
0.8528986960882647,556,607
0.8612604480106988,572,634
0.8696221999331327,592,660
0.8779839518555667,695,667
0.8863457037780006,721,701
0.8947074557004346,766,721
0.9030692076228686,818,742
0.9114309595453025,869,754
0.9197927114677366,925,761
0.9281544633901705,981,745
0.9365162153126044,1034,774
0.9448779672350385,1089,759
0.9532397191574724,1145,751
0.9616014710799063,1204,734
0.9699632230023403,1247,716
0.9783249749247743,1292,699
0.9866867268472083,1334,672
0.9950484787696422,1378,648
1.0034102306920762,1414,620
1.0117719826145102,1446,592
1.0201337345369441,1474,564
1.028495486459378,1499,536
1.036857238381812,1520,510
1.0452189903042461,1539,485
1.05358074222668,1554,461
1.061942494149114,1566,438
1.070304246071548,1573,419
1.0786659979939819,1542,401
1.0870277499164158,1567,390
1.0953895018388498,1571,381
1.103751253761284,1595,374
1.1121130056837178,1596,371
1.1204747576061518,1596,370
1.1288365095285857,1595,372
1.1371982614510197,1592,377
1.1455600133734536,1588,386
1.1539217652958875,1584,398
1.1622835172183217,1577,414
1.1706452691407556,1553,432
1.1790070210631896,1559,454
1.1873687729856235,1544,478
1.1957305249080574,1526,504
1.2040922768304914,1505,531
1.2124540287529255,1479,559
1.2208157806753595,1451,587
1.2291775325977934,1420,615
1.2375392845202273,1384,645
1.2459010364426613,1345,671
1.2542627883650952,1298,693
1.2626245402875291,1252,715
1.2709862922099633,1206,733
1.2793480441323972,1149,748
1.2877097960548312,1094,756
1.296071547977265,1040,764
1.304433299899699,986,767
1.312795051822133,931,762
1.321156803744567,876,754
1.329518555667001,822,742
1.337880307589435,772,728
1.346242059511869,726,709
1.3546038114343029,700,687
1.3629655633567368,679,661
1.3713273152791707,578,641
1.3796890672016047,561,614
1.3880508191240388,537,588
1.3964125710464728,511,561
1.4047743229689067,488,537
1.4131360748913406,467,511
1.4214978268137746,451,487
1.4298595787362085,437,466
1.4382213306586427,431,448
1.4465830825810766,419,434
1.4549448345035105,412,418
1.4633065864259445,408,406
1.4716683383483784,402,400
1.4800300902708123,399,393
1.4883918421932463,398,413
1.4967535941156804,399,394
1.5051153460381144,408,398
1.5134770979605483,411,407
1.5218388498829822,416,419
1.5302006018054162,422,437
1.53856235372785,429,452
1.546924105650284,440,470
1.5552858575727182,455,492
1.5636476094951521,472,515
1.572009361417586,493,543
1.58037111334002,517,568
1.588732865262454,545,595
1.5970946171848879,565,623
1.6054563691073218,583,649
1.613818121029756,687,670
1.62217987295219,708,698
1.6305416248746238,742,716
1.6389033767970578,788,733
1.6472651287194917,839,747
1.6556268806419256,894,757
1.6639886325643598,950,774
1.6723503844867937,1004,776
1.6807121364092277,1058,764
1.6890738883316616,1113,754
1.6974356402540955,1167,742
1.7057973921765295,1218,726
1.7141591440989634,1267,710
1.7225208960213976,1316,687
1.7308826479438315,1350,665
1.7392443998662654,1389,638
1.7476061517886994,1424,611
1.7559679037111333,1453,583
1.7643296556335673,1481,556
1.7726914075560012,1504,530
1.7810531594784353,1525,503
1.7894149114008693,1542,478
1.7977766633233032,1557,456
1.8061384152457371,1563,435
1.814500167168171,1576,418
1.822861919090605,1582,405
1.8312236710130392,1586,394
1.8395854229354731,1589,385
1.847947174857907,1591,380
1.856308926780341,1591,378
1.864670678702775,1591,379
1.8730324306252089,1589,383
1.8813941825476428,1587,390
1.889755934470077,1538,400
1.8981176863925109,1527,410
1.9064794383149448,1571,430
1.9148411902373788,1560,450
1.9232029421598127,1547,472
1.9315646940822466,1530,496
1.9399264460046806,1510,523
1.9482881979271147,1488,549
1.9566499498495487,1461,577
1.9650117017719826,1432,605
1.9733734536944165,1397,633
1.9817352056168505,1359,661
1.9900969575392844,1320,684
1.9984587094617183,1274,709
2.0068204613841525,1221,724
2.0151822133065864,1173,741
2.0235439652290204,1119,754
2.0319057171514543,1065,763
2.0402674690738882,1010,765
2.048629220996322,957,764
2.056990972918756,903,758
2.06535272484119,849,749
2.073714476763624,797,736
2.082076228686058,750,720
2.0904379806084923,714,696
2.098799732530926,690,676
2.10716148445336,589,657
2.115523236375794,571,630
2.123884988298228,555,604
2.132246740220662,527,577
2.140608492143096,502,553
2.14897024406553,480,527
2.1573319959879638,462,503
2.1656937479103977,448,481
2.1740554998328316,436,462
2.1824172517552656,428,446
2.1907790036776995,420,428
2.199140755600134,414,416
2.207502507522568,411,408
2.2158642594450018,408,403
2.2242260113674357,403,400
2.2325877632898696,403,400
2.2409495152123036,408,404
2.2493112671347375,411,411
2.2576730190571714,415,420
2.2660347709796054,421,437
2.2743965229020393,429,452
2.2827582748244732,442,468
2.291120026746907,452,489
2.299481778669341,469,513
2.307843530591775,488,537
2.3162052825142094,511,562
2.3245670344366434,538,588
2.3329287863590773,561,614
2.3412905382815112,578,642
2.349652290203945,679,660
2.358014042126379,700,685
2.366375794048813,727,708
2.374737545971247,773,729
2.383099297893681,822,743
2.391461049816115,876,754
2.399822801738549,930,762
2.4081845536609827,983,765
2.4165463055834167,1037,764
2.424908057505851,1090,757
2.433269809428285,1145,748
2.441631561350719,1201,734
2.449993313273153,1244,720
2.4583550651955868,1289,702
2.4667168171180207,1332,674
2.4750785690404546,1372,651
2.4834403209628886,1407,623
2.4918020728853225,1439,598
2.5001638248077565,1468,570
2.5085255767301904,1492,543
2.5168873286526243,1514,518
2.5252490805750583,1532,493
2.533610832497492,1548,470
2.5419725844199266,1560,449
2.5503343363423605,1566,431
2.5586960882647944,1526,410
2.5670578401872284,1535,403
2.5754195921096623,1543,396
2.5837813440320962,1570,390
2.59214309595453,1590,386
2.600504847876964,1590,386
2.608866599799398,1588,390
2.617228351721832,1558,396
2.625590103644266,1555,404
2.6339518555667,1578,416
2.642313607489134,1549,432
2.650675359411568,1560,451
2.659037111334002,1547,472
2.667398863256436,1531,495
2.67576061517887,1512,520
2.684122367101304,1490,547
2.692484119023738,1465,573
2.700845870946172,1436,601
2.7092076228686057,1404,629
2.7175693747910397,1366,656
2.7259311267134736,1327,680
2.7342928786359075,1281,707
2.7426546305583415,1235,724
2.7510163824807754,1186,740
2.7593781344032093,1133,750
2.7677398863256437,1079,761
2.7761016382480777,1025,753
2.7844633901705116,973,764
2.7928251420929455,918,761
2.8011868940153795,866,752
2.8095486459378134,816,741
2.8179103978602473,766,726
2.8262721497826813,722,702
2.834633901705115,697,681
2.842995653627549,596,663
2.851357405549983,577,640
2.859719157472417,561,615
2.868080909394851,538,590
2.8764426613172853,513,564
2.8848044132397193,491,539
2.893166165162153,471,515
2.901527917084587,456,494
2.909889669007021,445,473
2.918251420929455,433,456
2.926613172851889,424,440
2.934974924774323,418,426
2.943336676696757,414,418
2.9516984286191907,411,411
2.9600601805416247,410,408
2.9684219324640586,410,408
2.9767836843864925,412,411
2.9851454363089265,414,417
2.993507188231361,419,425
3.001868940153795,425,441
3.0102306920762287,432,453
3.0185924439986627,442,470
3.0269541959210966,454,491
3.0353159478435305,470,514
3.0436776997659645,489,537
3.0520394516883984,511,562
3.0604012036108323,536,587
3.0687629555332663,560,613
3.0771247074557,577,640
3.085486459378134,595,663
3.093848211300568,697,670
3.1022099632230025,721,702
3.1105717151454364,766,727
3.1189334670678703,815,741
3.1272952189903043,867,753
3.135656970912738,920,761
3.144018722835172,974,766
3.152380474757606,1026,753
3.16074222668004,1079,758
3.169103978602474,1132,750
3.177465730524908,1184,737
3.185827482447342,1234,721
3.1941892343697758,1280,706
3.2025509862922097,1325,680
3.2109127382146436,1361,658
3.219274490137078,1397,632
3.227636242059512,1430,606
3.235997993981946,1457,579
3.24435974590438,1484,552
3.2527214978268137,1505,527
3.2610832497492477,1525,503
3.2694450016716816,1540,480
3.2778067535941156,1554,459
3.2861685055165495,1565,441
3.2945302574389834,1515,416
3.3028920093614174,1527,408
3.3112537612838513,1536,403
3.3196155132062852,1564,398
3.3279772651287196,1586,395
3.3363390170511535,1585,394
3.3447007689735875,1586,396
3.3530625208960214,1554,402
3.3614242728184553,1529,409
3.3697860247408893,1575,421
3.378147776663323,1547,437
3.386509528585757,1558,454
3.394871280508191,1545,475
3.403233032430625,1529,498
3.411594784353059,1510,522
3.419956536275493,1488,548
3.428318288197927,1464,575
3.436680040120361,1435,602
3.445041792042795,1403,629
3.453403543965229,1367,656
3.461765295887663,1328,678
3.470127047810097,1283,704
3.478488799732531,1238,720
3.486850551654965,1188,736
3.4952123035773988,1137,749
3.5035740554998327,1084,757
3.5119358074222666,1030,763
3.5202975593447006,979,766
3.5286593112671345,926,761
3.5370210631895684,873,754
3.5453828151120024,821,743
3.5537445670344368,774,729
3.5621063189568707,728,705
3.5704680708793046,702,688
3.5788298228017386,682,664
3.5871915747241725,581,645
3.5955533266466064,565,620
3.6039150785690404,545,595
3.6122768304914743,519,571
3.6206385824139082,497,545
3.629000334336342,477,523
3.637362086258776,461,500
3.64572383818121,447,480
3.654085590103644,441,463
3.6624473420260784,429,449
3.6708090939485123,422,434
3.6791708458709462,419,426
3.68753259779338,416,419
3.695894349715814,415,416
3.704256101638248,415,415
3.712617853560682,416,418
3.720979605483116,419,424
3.72934135740555,423,432
3.7377031093279838,428,445
3.7460648612504177,435,460
3.7544266131728516,448,475
3.7627883650952856,457,495
3.7711501170177195,473,518
3.779511868940154,492,542
3.787873620862588,514,567
3.7962353727850218,539,592
3.8045971247074557,562,616
3.8129588766298896,578,642
3.8213206285523236,597,664
3.8296823804747575,697,691
3.8380441323971914,722,704
3.8464058843196254,769,726
3.8547676362420593,816,741
3.8631293881644932,866,753
3.871491140086927,920,762
3.879852892009361,974,768
3.8882146439317955,1023,753
3.8965763958542294,1077,759
3.9049381477766634,1130,750
3.9132998996990973,1182,738
3.9216616516215312,1231,722
3.930023403543965,1277,707
3.938385155466399,1322,682
3.946746907388833,1356,661
3.955108659311267,1393,636
3.963470411233701,1426,609
3.971832163156135,1453,583
3.980193915078569,1479,558
3.9885556670010027,1501,533
3.9969174189234367,1521,509
4.005279170845871,1537,486
4.013640922768305,1550,466
4.0220026746907385,1561,448
4.030364426613173,1548,433
4.038726178535606,1516,413
4.047087930458041,1529,410
4.055449682380474,1554,406
4.063811434302909,1582,403
4.072173186225343,1583,402
4.0805349381477765,1558,404
4.088896690070211,1549,410
4.097258441992644,1522,413
4.105620193915079,1512,419
4.113981945837512,1563,445
4.122343697759947,1553,463
4.13070544968238,1540,482
4.1390672016048144,1524,504
4.147428953527248,1505,529
4.155790705449682,1483,554
4.164152457372116,1458,581
4.17251420929455,1430,607
4.180875961216985,1398,633
4.189237713139418,1361,659
4.197599465061852,1325,682
4.205961216984286,1279,708
4.21432296890672,1233,721
4.222684720829154,1185,738
4.231046472751588,1132,751
4.239408224674022,1080,758
4.247769976596456,1026,753
4.2561317285188895,976,767
4.264493480441324,923,761
4.272855232363757,871,754
4.281216984286192,820,743
4.289578736208626,773,729
4.29794048813106,729,710
4.306302240053494,702,688
4.3146639919759275,683,664
4.323025743898362,581,648
4.331387495820795,565,622
4.33974924774323,547,598
4.348110999665663,521,573
4.356472751588098,500,548
4.364834503510531,480,526
4.3731962554329655,463,505
4.381558007355399,450,484
4.389919759277833,446,468
4.398281511200268,433,452
4.406643263122701,427,441
4.415005015045136,422,432
4.423366766967569,420,426
4.4317285188900035,419,423
4.440090270812437,419,423
4.448452022734871,420,426
4.456813774657305,422,431
4.465175526579739,424,441
4.473537278502173,431,454
4.481899030424607,439,467
4.490260782347041,450,484
4.498622534269475,464,504
4.506984286191909,480,527
