t,X,Y
0.016673296207902415,505,540
0.03334659241580483,508,528
0.050019888623707244,518,518
0.06669318483160966,520,510
0.08336648103951208,522,505
0.10003977724741449,524,504
0.1167130734553169,527,499
0.13338636966321932,528,498
0.15005966587112174,530,493
0.16673296207902416,529,489
0.18340625828692655,530,493
0.20007955449482898,529,494
0.2167528507027314,527,497
0.2334261469106338,522,502
0.2500994431185362,521,504
0.26677273932643863,521,511
0.28344603553434106,514,518
0.3001193317422435,512,529
0.3167926279501459,505,540
0.3334659241580483,505,545
0.3501392203659507,501,556
0.3668125165738531,496,569
0.38348581278175553,489,593
0.40015910898965795,488,608
0.4168324051975604,480,624
0.4335057014054628,479,635
0.4501789976133652,476,654
0.4668522938212676,473,673
0.48352559002917,473,712
0.5001988862370724,473,719
0.5168721824449749,473,745
0.5335454786528773,476,768
0.5502187748607796,480,800
0.5668920710686821,489,840
0.5835653672765845,497,870
0.600238663484487,503,882
0.6169119596923893,514,914
0.6335852559002918,529,940
0.6502585521081942,554,984
0.6669318483160966,575,1015
0.683605144523999,600,1044
0.7002784407319014,624,1068
0.7169517369398039,643,1084
0.7336250331477062,671,1104
0.7502983293556087,704,1128
0.7669716255635111,757,1153
0.7836449217714135,800,1171
0.8003182179793159,816,1176
0.8169915141872183,856,1183
0.8336648103951207,896,1191
0.8503381066030231,940,1194
0.8670114028109256,1000,1190
0.883684699018828,1041,1185
0.9003579952267304,1082,1174
0.9170312914346328,1119,1162
0.9337045876425352,1135,1155
0.9503778838504376,1173,1136
0.96705118005834,1202,1120
0.9837244762662425,1235,1095
1.0003977724741449,1278,1060
1.0170710686820472,1303,1034
1.0337443648899498,1325,1004
1.0504176610978522,1343,978
1.0670909573057545,1361,951
1.083764253513657,1375,920
1.1004375497215593,1384,896
1.1171108459294619,1391,880
1.1337841421373642,1401,857
1.1504574383452666,1406,830
1.167130734553169,1415,802
1.1838040307610715,1417,768
1.200477326968974,1421,745
1.2171506231768763,1421,724
1.2338239193847786,1419,705
1.250497215592681,1421,696
1.2671705118005836,1419,679
1.283843808008486,1416,659
1.3005171042163883,1415,646
1.3171904004242907,1413,633
1.3338636966321933,1409,614
1.3505369928400957,1408,604
1.367210289047998,1406,594
1.3838835852559004,1400,589
1.4005568814638027,1401,584
1.4172301776717053,1400,579
1.4339034738796077,1399,572
1.45057677008751,1396,568
1.4672500662954124,1396,567
1.4839233625033148,1396,568
1.5005966587112174,1396,568
1.5172699549191198,1396,569
1.5339432511270221,1396,569
1.5506165473349245,1398,572
1.567289843542827,1402,582
1.5839631397507294,1400,588
1.6006364359586318,1403,594
1.6173097321665342,1405,599
1.6339830283744365,1408,609
1.6506563245823391,1411,620
1.6673296207902415,1416,639
1.6840029169981439,1417,652
1.7006762132060462,1419,667
1.7173495094139488,1421,684
1.7340228056218512,1423,691
1.7506961018297535,1423,712
1.767369398037656,1422,740
1.7840426942455583,1422,762
1.8007159904534609,1418,785
1.8173892866613632,1416,799
1.8340625828692656,1409,822
1.850735879077168,1401,847
1.8674091752850703,1390,888
1.884082471492973,1378,915
1.9007557677008753,1367,938
1.9174290639087777,1351,968
1.93410236011668,1333,996
1.9507756563245826,1323,1007
1.967448952532485,1303,1035
1.9841222487403873,1262,1074
2.0007955449482897,1239,1092
2.0174688411561923,1210,1114
2.0341421373640944,1180,1132
2.050815433571997,1160,1142
2.0674887297798996,1107,1165
2.0841620259878018,1085,1173
2.1008353221957043,1039,1184
2.1175086184036065,993,1190
2.134181914611509,927,1193
2.1508552108194117,918,1193
2.167528507027314,882,1188
2.1842018032352164,847,1181
2.2008750994431185,808,1173
2.217548395651021,757,1153
2.2342216918589237,742,1147
2.250894988066826,706,1128
2.2675682842747285,679,1112
2.2842415804826306,648,1089
2.300914876690533,623,1064
2.3175881728984358,599,1043
2.334261469106338,579,1016
2.3509347653142405,558,989
2.367608061522143,542,967
2.3842813577300452,527,942
2.400954653937948,513,913
2.41762795014585,504,893
2.4343012463537526,496,868
2.450974542561655,488,844
2.4676478387695573,482,825
2.48432113497746,478,800
2.500994431185362,476,779
2.5176677273932646,472,763
2.534341023601167,473,744
2.5510143198090693,472,727
2.567687616016972,471,711
2.584360912224874,472,699
2.6010342084327767,472,687
2.6177075046406793,473,677
2.6343808008485814,474,665
2.651054097056484,472,656
2.6677273932643866,476,652
2.6844006894722887,477,644
2.7010739856801913,480,637
2.7177472818880934,478,637
2.734420578095996,478,633
2.7510938743038986,479,633
2.7677671705118008,480,632
2.7844404667197034,480,633
2.8011137629276055,479,639
2.817787059135508,480,641
2.8344603553434107,478,647
2.851133651551313,478,654
2.8678069477592154,474,662
2.8844802439671176,473,672
2.90115354017502,472,676
2.9178268363829227,471,686
2.934500132590825,471,706
2.9511734287987275,471,720
2.9678467250066296,471,733
2.984520021214532,472,743
3.001193317422435,477,769
3.017866613630337,477,789
3.0345399098382395,480,800
3.051213206046142,485,831
3.0678865022540442,490,852
3.084559798461947,499,876
3.101233094669849,509,901
3.1179063908777516,520,923
