Noise,Trial,Frequency
0.0,1,15
0.0,2,15
0.0,3,15
0.0,4,15
0.0,5,15
0.0,6,15
0.0,7,15
0.0,8,15
0.0,9,15
0.0,10,15
1.0,1,19
1.0,2,18
1.0,3,22
1.0,4,23
1.0,5,19
1.0,6,23
1.0,7,17
1.0,8,25
1.0,9,26
1.0,10,19
2.0,1,21
2.0,2,34
2.0,3,24
2.0,4,39
2.0,5,25
2.0,6,30
2.0,7,30
2.0,8,25
2.0,9,28
2.0,10,21
3.0,1,26
3.0,2,125
3.0,3,85
3.0,4,93
3.0,5,54
3.0,6,37
3.0,7,39
3.0,8,56
3.0,9,84
3.0,10,48
4.0,1,57
4.0,2,130
4.0,3,86
4.0,4,95
4.0,5,56
4.0,6,84
4.0,7,65
4.0,8,93
4.0,9,90
4.0,10,109
5.0,1,69
5.0,2,132
5.0,3,106
5.0,4,169
5.0,5,113
5.0,6,86
5.0,7,186
5.0,8,112
5.0,9,133
5.0,10,110
6.0,1,228
6.0,2,226
6.0,3,108
6.0,4,174
6.0,5,224
6.0,6,184
6.0,7,191
6.0,8,226
6.0,9,133
6.0,10,366
7.0,1,229
7.0,2,303
7.0,3,231
7.0,4,175
7.0,5,311
7.0,6,479
7.0,7,309
7.0,8,227
7.0,9,133
7.0,10,376
8.0,1,545
8.0,2,394
8.0,3,401
8.0,4,206
8.0,5,429
8.0,6,493
8.0,7,806
8.0,8,1142
8.0,9,435
8.0,10,377
9.0,1,549
9.0,2,656
9.0,3,433
9.0,4,809
9.0,5,670
9.0,6,495
9.0,7,823
9.0,8,1193
9.0,9,562
9.0,10,1039
10.0,1,946
10.0,2,657
10.0,3,534
10.0,4,812
10.0,5,675
10.0,6,705
10.0,7,830
10.0,8,1199
10.0,9,573
10.0,10,1082
11.0,1,966
11.0,2,659
11.0,3,1165
11.0,4,813
11.0,5,677
11.0,6,719
11.0,7,834
11.0,8,1200
11.0,9,1123
11.0,10,1134
12.0,1,1132
12.0,2,662
12.0,3,1168
12.0,4,1054
12.0,5,1089
12.0,6,1091
12.0,7,1190
12.0,8,1200
12.0,9,1140
12.0,10,1139
13.0,1,1132
13.0,2,662
13.0,3,1170
13.0,4,1055
13.0,5,1172
13.0,6,1095
13.0,7,1200
13.0,8,1200
13.0,9,799
13.0,10,1146
14.0,1,1142
14.0,2,662
14.0,3,1172
14.0,4,1059
14.0,5,1184
14.0,6,1103
14.0,7,1200
14.0,8,1200
14.0,9,1027
14.0,10,1146
15.0,1,1183
15.0,2,1120
15.0,3,1174
15.0,4,1065
15.0,5,1189
15.0,6,1106
15.0,7,1200
15.0,8,1200
15.0,9,1028
15.0,10,1149
