Noise,Frequency,Trial,Success
0.0,1,1,False
0.0,1,2,False
0.0,1,3,False
0.0,1,4,False
0.0,1,5,False
0.0,1,6,False
0.0,1,7,False
0.0,1,8,False
0.0,1,9,False
0.0,1,10,False
0.0,2,1,False
0.0,2,2,False
0.0,2,3,False
0.0,2,4,False
0.0,2,5,False
0.0,2,6,False
0.0,2,7,False
0.0,2,8,False
0.0,2,9,False
0.0,2,10,False
0.0,3,1,False
0.0,3,2,False
0.0,3,3,False
0.0,3,4,False
0.0,3,5,False
0.0,3,6,False
0.0,3,7,False
0.0,3,8,False
0.0,3,9,False
0.0,3,10,False
0.0,4,1,True
0.0,4,2,True
0.0,4,3,True
0.0,4,4,True
0.0,4,5,True
0.0,4,6,True
0.0,4,7,True
0.0,4,8,True
0.0,4,9,True
0.0,4,10,True
0.0,5,1,True
0.0,5,2,True
0.0,5,3,True
0.0,5,4,True
0.0,5,5,True
0.0,5,6,True
0.0,5,7,True
0.0,5,8,True
0.0,5,9,True
0.0,5,10,True
0.0,6,1,True
0.0,6,2,True
0.0,6,3,True
0.0,6,4,True
0.0,6,5,True
0.0,6,6,True
0.0,6,7,True
0.0,6,8,True
0.0,6,9,True
0.0,6,10,True
0.0,7,1,True
0.0,7,2,True
0.0,7,3,True
0.0,7,4,True
0.0,7,5,True
0.0,7,6,True
0.0,7,7,True
0.0,7,8,True
0.0,7,9,True
0.0,7,10,True
0.0,8,1,True
0.0,8,2,True
0.0,8,3,True
0.0,8,4,True
0.0,8,5,True
0.0,8,6,True
0.0,8,7,True
0.0,8,8,True
0.0,8,9,True
0.0,8,10,True
0.0,9,1,True
0.0,9,2,True
0.0,9,3,True
0.0,9,4,True
0.0,9,5,True
0.0,9,6,True
0.0,9,7,True
0.0,9,8,True
0.0,9,9,True
0.0,9,10,True
0.0,10,1,True
0.0,10,2,True
0.0,10,3,True
0.0,10,4,True
0.0,10,5,True
0.0,10,6,True
0.0,10,7,True
0.0,10,8,True
0.0,10,9,True
0.0,10,10,True
0.0,11,1,True
0.0,11,2,True
0.0,11,3,True
0.0,11,4,True
0.0,11,5,True
0.0,11,6,True
0.0,11,7,True
0.0,11,8,True
0.0,11,9,True
0.0,11,10,True
0.0,12,1,True
0.0,12,2,True
0.0,12,3,True
0.0,12,4,True
0.0,12,5,True
0.0,12,6,True
0.0,12,7,True
0.0,12,8,True
0.0,12,9,True
0.0,12,10,True
0.0,13,1,True
0.0,13,2,True
0.0,13,3,True
0.0,13,4,True
0.0,13,5,True
0.0,13,6,True
0.0,13,7,True
0.0,13,8,True
0.0,13,9,True
0.0,13,10,True
0.0,14,1,True
0.0,14,2,True
0.0,14,3,True
0.0,14,4,True
0.0,14,5,True
0.0,14,6,True
0.0,14,7,True
0.0,14,8,True
0.0,14,9,True
0.0,14,10,True
0.0,15,1,True
0.0,15,2,True
0.0,15,3,True
0.0,15,4,True
0.0,15,5,True
0.0,15,6,True
0.0,15,7,True
0.0,15,8,True
0.0,15,9,True
0.0,15,10,True
0.0,16,1,True
0.0,16,2,True
0.0,16,3,True
0.0,16,4,True
0.0,16,5,True
0.0,16,6,True
0.0,16,7,True
0.0,16,8,True
0.0,16,9,True
0.0,16,10,True
0.0,17,1,True
0.0,17,2,True
0.0,17,3,True
0.0,17,4,True
0.0,17,5,True
0.0,17,6,True
0.0,17,7,True
0.0,17,8,True
0.0,17,9,True
0.0,17,10,True
0.0,18,1,True
0.0,18,2,True
0.0,18,3,True
0.0,18,4,True
0.0,18,5,True
0.0,18,6,True
0.0,18,7,True
0.0,18,8,True
0.0,18,9,True
0.0,18,10,True
0.0,19,1,True
0.0,19,2,True
0.0,19,3,True
0.0,19,4,True
0.0,19,5,True
0.0,19,6,True
0.0,19,7,True
0.0,19,8,True
0.0,19,9,True
0.0,19,10,True
0.0,20,1,True
0.0,20,2,True
0.0,20,3,True
0.0,20,4,True
0.0,20,5,True
0.0,20,6,True
0.0,20,7,True
0.0,20,8,True
0.0,20,9,True
0.0,20,10,True
0.0,21,1,True
0.0,21,2,True
0.0,21,3,True
0.0,21,4,True
0.0,21,5,True
0.0,21,6,True
0.0,21,7,True
0.0,21,8,True
0.0,21,9,True
0.0,21,10,True
0.0,22,1,True
0.0,22,2,True
0.0,22,3,True
0.0,22,4,True
0.0,22,5,True
0.0,22,6,True
0.0,22,7,True
0.0,22,8,True
0.0,22,9,True
0.0,22,10,True
0.0,23,1,True
0.0,23,2,True
0.0,23,3,True
0.0,23,4,True
0.0,23,5,True
0.0,23,6,True
0.0,23,7,True
0.0,23,8,True
0.0,23,9,True
0.0,23,10,True
0.0,24,1,True
0.0,24,2,True
0.0,24,3,True
0.0,24,4,True
0.0,24,5,True
0.0,24,6,True
0.0,24,7,True
0.0,24,8,True
0.0,24,9,True
0.0,24,10,True
0.0,25,1,True
0.0,25,2,True
0.0,25,3,True
0.0,25,4,True
0.0,25,5,True
0.0,25,6,True
0.0,25,7,True
0.0,25,8,True
0.0,25,9,True
0.0,25,10,True
0.0,26,1,True
0.0,26,2,True
0.0,26,3,True
0.0,26,4,True
0.0,26,5,True
0.0,26,6,True
0.0,26,7,True
0.0,26,8,True
0.0,26,9,True
0.0,26,10,True
0.0,27,1,True
0.0,27,2,True
0.0,27,3,True
0.0,27,4,True
0.0,27,5,True
0.0,27,6,True
0.0,27,7,True
0.0,27,8,True
0.0,27,9,True
0.0,27,10,True
0.0,28,1,True
0.0,28,2,True
0.0,28,3,True
