Noise,Frequency,Trial
0.0,6,1
0.0,6,2
0.0,6,3
0.0,6,4
0.0,6,5
0.0,6,6
0.0,6,7
0.0,6,8
0.0,6,9
0.0,6,10
1.0,8,1
1.0,9,2
1.0,8,3
1.0,9,4
1.0,8,5
1.0,16,6
1.0,10,7
1.0,14,8
1.0,22,9
1.0,11,10
2.0,13,1
2.0,17,2
2.0,25,3
2.0,31,4
2.0,64,5
2.0,31,6
2.0,23,7
2.0,16,8
2.0,32,9
2.0,42,10
3.0,103,1
3.0,73,2
3.0,296,3
3.0,341,4
3.0,69,5
3.0,35,6
3.0,47,7
3.0,72,8
3.0,56,9
3.0,83,10
4.0,203,1
4.0,211,2
4.0,316,3
4.0,384,4
4.0,144,5
4.0,77,6
4.0,155,7
4.0,151,8
4.0,162,9
4.0,84,10
5.0,302,1
5.0,234,2
5.0,318,3
5.0,470,4
5.0,297,5
5.0,382,6
5.0,278,7
5.0,774,8
5.0,336,9
5.0,1174,10
6.0,458,1
6.0,443,2
6.0,336,3
6.0,1143,4
6.0,308,5
6.0,1041,7
6.0,821,8
6.0,696,9
7.0,469,1
7.0,592,2
7.0,682,3
7.0,817,5
7.0,1079,7
7.0,854,8
7.0,752,9
8.0,893,1
8.0,1134,2
8.0,691,3
8.0,1177,5
8.0,1156,7
8.0,957,8
8.0,761,9
9.0,1011,1
9.0,1197,2
9.0,1136,3
9.0,1177,7
9.0,1052,8
9.0,1026,9
10.0,1127,3
10.0,1077,8
10.0,1034,9
11.0,1138,3
11.0,1198,8
11.0,1045,9
12.0,1144,3
12.0,1122,9
13.0,1181,3
13.0,1144,9
14.0,1187,3
14.0,1180,9
15.0,1184,9
