Noise,Trial,Frequency
0.0,1,4
0.0,2,4
0.0,3,4
0.0,4,4
0.0,5,4
0.0,6,4
0.0,7,4
0.0,8,4
0.0,9,4
0.0,10,4
1.0,1,4
1.0,2,7
1.0,3,12
1.0,4,4
1.0,5,9
1.0,6,7
1.0,7,9
1.0,8,6
1.0,9,7
1.0,10,14
2.0,1,20
2.0,2,35
2.0,3,50
2.0,4,13
2.0,5,27
2.0,6,21
2.0,7,77
2.0,8,33
2.0,9,33
2.0,10,30
3.0,1,103
3.0,2,201
3.0,3,140
3.0,4,167
3.0,5,68
3.0,6,77
3.0,7,78
3.0,8,131
3.0,9,34
3.0,10,125
4.0,1,104
4.0,2,278
4.0,3,198
4.0,4,173
4.0,5,73
4.0,6,147
4.0,7,200
4.0,8,134
4.0,9,146
4.0,10,127
5.0,1,104
5.0,2,288
5.0,3,341
5.0,4,176
5.0,5,438
5.0,6,257
5.0,7,200
5.0,8,291
5.0,9,146
5.0,10,176
6.0,1,730
6.0,2,829
6.0,3,345
6.0,4,291
6.0,5,451
6.0,6,268
6.0,7,258
6.0,8,677
6.0,9,147
6.0,10,443
7.0,1,736
7.0,2,836
7.0,3,347
7.0,4,304
7.0,5,814
7.0,6,443
7.0,7,283
7.0,8,680
7.0,9,411
7.0,10,493
8.0,1,745
8.0,2,839
8.0,3,714
8.0,4,308
8.0,5,817
8.0,6,443
8.0,7,283
8.0,8,763
8.0,9,412
8.0,10,961
9.0,1,749
9.0,2,842
9.0,3,714
9.0,4,310
9.0,5,1198
9.0,6,900
9.0,7,916
9.0,8,779
9.0,9,948
9.0,10,963
10.0,1,759
10.0,2,843
10.0,3,924
10.0,4,554
10.0,5,1199
10.0,6,904
10.0,7,1019
10.0,8,779
10.0,9,951
10.0,10,963
11.0,1,817
11.0,2,1053
11.0,3,924
11.0,4,1058
11.0,5,1200
11.0,6,906
11.0,7,1026
11.0,8,795
11.0,9,953
11.0,10,972
12.0,1,817
12.0,2,1053
12.0,3,929
12.0,4,1059
12.0,5,1200
12.0,6,908
12.0,7,1034
12.0,8,796
12.0,9,997
12.0,10,975
13.0,1,832
13.0,2,1057
13.0,3,930
13.0,4,1061
13.0,5,1200
13.0,6,1192
13.0,7,1043
13.0,8,797
13.0,9,1003
13.0,10,975
14.0,1,834
14.0,2,1077
14.0,3,1064
14.0,4,1066
14.0,5,1200
14.0,6,1195
14.0,7,1047
14.0,8,798
14.0,9,1005
14.0,10,998
15.0,1,838
15.0,2,1082
15.0,3,1086
15.0,4,1066
15.0,5,1200
15.0,6,1197
15.0,7,1106
15.0,8,798
15.0,9,1006
15.0,10,1056
