t,X1,Y1,X2,Y2,x_1,y_1,x_2,y_2
1.2202450980392157,1354,702,993,857,390.5,48,29.5,-107
1.2369607843137256,1352,692,983,826,388.5,58,19.5,-76
1.2536764705882353,1351,688,978,813,387.5,62,14.5,-63
1.2703921568627452,1352,680,968,769,388.5,70,4.5,-19
1.287107843137255,1351,673,961,739,387.5,77,-2.5,11
1.3038235294117648,1351,669,960,719,387.5,81,-3.5,31
1.3205392156862743,1349,668,958,702,385.5,82,-5.5,48
1.3372549019607844,1349,665,956,665,385.5,85,-7.5,85
1.353970588235294,1347,661,954,636,383.5,89,-9.5,114
1.3706862745098038,1348,658,957,615,384.5,92,-6.5,135
1.3874019607843138,1344,657,960,594,380.5,93,-3.5,156
1.4041176470588237,1344,656,964,576,380.5,94,0.5,174
1.4208333333333334,1344,656,964,567,380.5,94,0.5,183
1.437549019607843,1344,657,972,544,380.5,93,8.5,206
1.454264705882353,1346,660,976,528,382.5,90,12.5,222
1.4709803921568627,1346,664,988,505,382.5,86,24.5,245
1.4876960784313726,1346,665,995,490,382.5,85,31.5,260
1.5044117647058823,1348,668,1005,476,384.5,82,41.5,274
1.5211274509803925,1349,672,1015,468,385.5,78,51.5,282
1.537843137254902,1352,673,1019,460,388.5,77,55.5,290
1.554558823529412,1351,681,1033,449,387.5,69,69.5,301
1.5712745098039216,1352,683,1039,447,388.5,67,75.5,303
1.5879901960784315,1352,692,1055,434,388.5,58,91.5,316
1.6047058823529412,1352,699,1068,432,388.5,51,104.5,318
1.621421568627451,1352,708,1080,429,388.5,42,116.5,321
1.6381372549019608,1352,711,1085,429,388.5,39,121.5,321
1.6548529411764703,1356,728,1103,428,392.5,22,139.5,322
1.6715686274509804,1357,738,1114,429,393.5,12,150.5,321
1.68828431372549,1356,751,1129,432,392.5,-1,165.5,318
1.705,1357,759,1140,433,393.5,-9,176.5,317
1.7217156862745098,1356,768,1146,436,392.5,-18,182.5,314
1.7384313725490197,1355,787,1167,445,391.5,-37,203.5,305
1.7551470588235294,1352,800,1177,450,388.5,-50,213.5,300
1.771862745098039,1352,810,1185,458,388.5,-60,221.5,292
1.788578431372549,1345,836,1206,468,381.5,-86,242.5,282
1.805294117647059,1344,848,1218,480,380.5,-98,254.5,270
1.8220098039215689,1336,869,1229,492,372.5,-119,265.5,258
1.8387254901960783,1332,889,1244,506,368.5,-139,280.5,244
1.8554411764705885,1326,903,1255,520,362.5,-153,291.5,230
1.872156862745098,1313,927,1272,536,349.5,-177,308.5,214
1.888872549019608,1305,944,1286,553,341.5,-194,322.5,197
1.9055882352941176,1294,968,1298,574,330.5,-218,334.5,176
1.9223039215686275,1281,983,1312,592,317.5,-233,348.5,158
1.9390196078431372,1263,1002,1325,615,299.5,-252,361.5,135
1.9557352941176471,1247,1019,1338,640,283.5,-269,374.5,110
1.9724509803921568,1231,1036,1352,662,267.5,-286,388.5,88
1.9891666666666667,1222,1046,1360,676,258.5,-296,396.5,74
2.0058823529411764,1193,1071,1377,720,229.5,-321,413.5,30
2.022598039215686,1176,1082,1386,748,212.5,-332,422.5,2
2.0393137254901963,1158,1092,1398,782,194.5,-342,434.5,-32
2.056029411764706,1140,1100,1408,816,176.5,-350,444.5,-66
2.0727450980392157,1130,1105,1414,837,166.5,-355,450.5,-87
2.0894607843137254,1102,1119,1426,898,138.5,-369,462.5,-148
2.1061764705882355,1089,1121,1431,935,125.5,-371,467.5,-185
2.1228921568627452,1072,1127,1435,982,108.5,-377,471.5,-232
2.139607843137255,1066,1131,1437,1007,102.5,-381,473.5,-257
2.1563235294117646,1047,1133,1436,1073,83.5,-383,472.5,-323
2.1730392156862743,1041,1136,1431,1126,77.5,-386,467.5,-376
2.1897549019607845,1033,1135,1424,1180,69.5,-385,460.5,-430
2.206470588235294,1031,1136,1415,1224,67.5,-386,451.5,-474
2.223186274509804,1032,1136,1398,1281,68.5,-386,434.5,-531
