t,X,Y,x,y
0.2837373257287706,616,765,-621,727
0.3004277566539924,660,802,-577,764
0.3171181875792142,740,856,-497,818
0.333808618504436,794,889,-443,851
0.3504990494296578,855,917,-382,879
0.3671894803548796,919,944,-318,906
0.3838799112801014,982,965,-255,927
0.4005703422053232,1018,975,-219,937
0.417260773130545,1084,988,-153,950
0.4339512040557668,1155,996,-82,958
0.4506416349809886,1261,1000,24,962
0.4673320659062104,1331,995,94,957
0.4840224968314322,1364,991,127,953
0.500712927756654,1434,979,197,941
0.5174033586818758,1497,963,260,925
0.5340937896070976,1591,930,354,892
0.5507842205323195,1648,906,411,868
0.5674746514575413,1679,890,442,852
0.584165082382763,1757,843,520,805
0.6008555133079848,1805,809,568,771
0.6175459442332066,1850,773,613,735
1.1850205956907478,1858,765,621,727
1.2017110266159696,1837,784,600,746
1.2184014575411914,1774,831,537,793
1.2350918884664133,1748,848,511,810
1.251782319391635,1697,880,460,842
1.268472750316857,1617,919,380,881
1.2851631812420787,1591,930,354,892
1.3018536121673006,1503,961,266,923
1.3185440430925224,1447,976,210,938
1.335234474017744,1395,986,158,948
1.3519249049429658,1331,995,94,957
1.3686153358681876,1266,1000,29,962
1.3853057667934094,1205,1000,-32,962
1.4019961977186313,1141,996,-96,958
1.418686628643853,1082,987,-155,949
1.435377059569075,1020,975,-217,937
1.4520674904942967,961,958,-276,920
1.4687579214195186,904,939,-333,901
1.4854483523447404,854,918,-383,880
1.5021387832699622,806,895,-431,857
1.5188292141951838,758,868,-479,830
1.5355196451204056,713,841,-524,803
1.5522100760456274,673,812,-564,774
1.5689005069708493,635,782,-602,744
1.585590937896071,619,768,-618,730
2.0529230038022814,615,764,-622,726
2.0696134347275033,649,792,-588,754
2.086303865652725,686,821,-551,783
2.102994296577947,726,849,-511,811
2.1196847275031687,770,876,-467,838
2.1363751584283905,814,899,-423,861
2.1530655893536124,863,922,-374,884
2.169756020278834,914,943,-323,905
2.186446451204056,940,951,-297,913
2.203136882129278,1018,975,-219,937
2.2198273130544997,1075,986,-162,948
2.2365177439797215,1107,991,-130,953
2.2532081749049433,1190,999,-47,961
2.269898605830165,1252,1000,15,962
2.286589036755387,1307,997,70,959
2.3032794676806088,1366,990,129,952
2.31996989860583,1394,986,157,948
2.336660329531052,1476,969,239,931
2.353350760456274,1530,953,293,915
2.3700411913814956,1554,944,317,906
2.3867316223067174,1628,914,391,876
2.4034220532319392,1673,892,436,854
2.420112484157161,1718,868,481,830
2.436802915082383,1755,844,518,806
2.4534933460076047,1775,829,538,791
2.4701837769328265,1827,792,590,754
2.4868742078580484,1856,767,619,729
2.50356463878327,1871,753,634,715
2.9208254119138153,1878,747,641,709
2.937515842839037,1851,771,614,733
2.954206273764259,1820,798,583,760
2.9708967046894807,1805,809,568,771
2.9875871356147026,1751,847,514,809
3.0042775665399244,1716,869,479,831
3.020967997465146,1673,892,436,854
3.0376584283903676,1650,904,413,866
3.0543488593155894,1585,933,348,895
3.0710392902408112,1533,952,296,914
3.087729721166033,1485,967,248,929
3.104420152091255,1433,979,196,941
3.1211105830164767,1408,984,171,946
3.1378010139416985,1329,995,92,957
3.1544914448669203,1274,999,37,961
3.171181875792142,1220,1000,-17,962
3.187872306717364,1166,997,-71,959
3.204562737642586,1116,993,-121,955
3.2212531685678076,1064,984,-173,946
3.2379435994930295,1040,979,-197,941
3.2546340304182513,968,960,-269,922
3.271324461343473,921,945,-316,907
3.288014892268695,879,929,-358,891
3.3047053231939167,836,910,-401,872
3.3213957541191386,797,890,-440,852
3.3380861850443604,760,870,-477,832
3.354776615969582,728,850,-509,812
3.371467046894804,698,829,-539,791
3.3881574778200254,683,818,-554,780
3.4048479087452472,643,787,-594,749
3.421538339670469,622,770,-615,732
3.438228770595691,601,751,-636,713
3.738656527249684,588,739,-649,701
3.755346958174905,606,756,-631,718
3.772037389100127,628,775,-609,737
3.7887278200253487,650,794,-587,756
3.8054182509505705,677,814,-560,776
3.822108681875792,692,825,-545,787
3.838799112801014,734,853,-503,815
3.855489543726236,751,864,-486,826
3.872179974651458,803,894,-434,856
3.88887040557668,824,904,-413,866
3.9055608365019014,881,930,-356,892
3.9222512674271233,923,946,-314,908
3.938941698352345,968,961,-269,923
3.955632129277567,1015,973,-222,935
3.9723225602027887,1061,983,-176,945
3.9890129911280106,1109,991,-128,953
4.005703422053232,1135,995,-102,957
4.022393852978454,1207,1000,-30,962
4.039084283903676,1257,1000,20,962
4.055774714828898,1307,997,70,959
4.072465145754119,1356,992,119,954
4.0891555766793415,1379,988,142,950
4.105846007604563,1449,976,212,938
4.122536438529785,1496,963,259,925
4.1392268694550065,1537,950,300,912
4.155917300380229,1577,936,340,898
4.17260773130545,1599,927,362,889
4.189298162230672,1656,901,419,863
4.205988593155894,1691,882,454,844
4.222679024081116,1723,864,486,826
4.239369455006337,1754,845,517,807
4.25605988593156,1782,825,545,787
4.272750316856781,1795,816,558,778
4.2894407477820025,1830,788,593,750
4.306131178707225,1852,771,615,733
4.322821609632446,1861,763,624,725
4.339512040557668,1886,740,649,702
4.6065589353612175,1878,746,641,708
4.623249366286439,1863,761,626,723
4.63993979721166,1842,779,605,741
4.6566302281368825,1823,794,586,756
4.673320659062104,1798,813,561,775
4.690011089987326,1786,822,549,784
4.706701520912548,1745,851,508,813
4.72339195183777,1731,860,494,822
4.740082382762991,1681,888,444,850
4.7567728136882135,1648,906,411,868
4.773463244613435,1611,922,374,884
4.790153675538657,1574,938,337,900
4.8068441064638785,1533,952,296,914
4.823534537389101,1512,959,275,921
4.840224968314322,1449,976,212,938
4.856915399239544,1407,985,170,947
4.873605830164766,1382,988,145,950
4.890296261089988,1312,996,75,958
4.906986692015209,1268,1000,31,962
4.923677122940432,1224,1000,-13,962
4.940367553865653,1178,998,-59,960
4.957057984790875,1132,994,-105,956
4.973748415716097,1087,988,-150,950
4.990438846641318,1029,977,-208,939
5.00712927756654,992,968,-245,930
5.023819708491762,973,962,-264,924
5.040510139416984,916,943,-321,905
5.057200570342205,882,930,-355,892
5.073891001267428,848,915,-389,877
5.090581432192649,817,901,-420,863
5.107271863117871,787,886,-450,848
5.123962294043093,760,870,-477,832
5.140652724968315,734,853,-503,815
5.157343155893536,713,839,-524,801
5.174033586818759,692,825,-545,787
5.19072401774398,676,814,-561,776
5.207414448669202,652,795,-585,757
5.224104879594424,648,792,-589,754
5.240795310519646,633,779,-604,741
5.257485741444867,624,773,-613,735
5.2741761723700895,614,763,-623,725
5.290866603295311,608,758,-629,720
5.307557034220533,604,754,-633,716
5.3242474651457545,603,753,-634,715
5.340937896070976,601,752,-636,714
5.357628326996198,603,753,-634,715
5.3743187579214196,606,756,-631,718
5.391009188846642,612,761,-625,723
5.407699619771863,619,768,-618,730
5.4243900506970855,629,776,-608,738
5.441080481622307,640,785,-597,747
5.457770912547529,647,791,-590,753
5.4744613434727505,669,808,-568,770
5.491151774397973,686,821,-551,783
5.507842205323194,706,835,-531,797
5.524532636248416,715,841,-522,803
5.541223067173638,751,864,-486,826
5.55791349809886,764,872,-473,834
5.574603929024081,805,895,-432,857
5.591294359949304,835,909,-402,871
5.607984790874525,867,924,-370,886
5.624675221799747,901,938,-336,900
5.641365652724969,936,950,-301,912
5.658056083650191,953,956,-284,918
5.674746514575412,992,967,-245,929
5.691436945500635,1051,981,-186,943
5.708127376425856,1092,989,-145,951
5.724817807351077,1133,994,-104,956
5.7415082382763,1178,998,-59,960
5.758198669201521,1218,1000,-19,962
5.774889100126743,1263,1000,26,962
5.791579531051965,1303,997,66,959
5.808269961977187,1324,996,87,958
5.824960392902408,1366,991,129,953
5.841650823827631,1427,980,190,942
5.858341254752852,1466,972,229,934
5.875031685678074,1505,961,268,923
5.891722116603296,1540,949,303,911
5.908412547528518,1559,942,322,904
5.925102978453739,1591,930,354,892
5.9417934093789615,1624,916,387,878
5.958483840304183,1669,895,432,857
5.975174271229405,1696,880,459,842
5.9918647021546265,1708,873,471,835
6.008555133079849,1744,851,507,813
6.02524556400507,1754,845,517,807
6.041935994930292,1783,825,546,787
6.058626425855514,1791,819,554,781
6.075316856780735,1815,800,578,762
6.0920072877059575,1822,796,585,758
6.108697718631179,1839,782,602,744
6.125388149556401,1848,774,611,736
6.1420785804816225,1852,771,615,733
6.158769011406845,1860,763,623,725
6.175459442332066,1863,761,626,723
6.192149873257288,1865,759,628,721
6.20884030418251,1865,759,628,721
6.225530735107732,1863,761,626,723
6.242221166032953,1860,764,623,726
6.258911596958176,1854,769,617,731
6.275602027883397,1850,772,613,734
6.292292458808619,1837,784,600,746
6.308982889733841,1827,792,590,754
6.325673320659063,1812,803,575,765
6.342363751584284,1805,808,568,770
6.359054182509507,1789,821,552,783
6.375744613434728,1761,839,524,801
6.39243504435995,1742,852,505,814
6.409125475285172,1718,866,481,828
6.425815906210393,1693,882,456,844
6.442506337135615,1667,895,430,857
6.459196768060837,1639,910,402,872
6.475887198986059,1624,916,387,878
6.49257762991128,1577,936,340,898
6.509268060836503,1543,948,306,910
6.525958491761724,1510,959,273,921
6.542648922686946,1470,970,233,932
6.559339353612168,1435,979,198,941
6.57602978453739,1416,983,179,945
