t,X,Y
0.0166904309252218,328,295
0.0333808618504436,331,307
0.0500712927756654,335,320
0.0667617237008872,341,340
0.083452154626109,348,360
0.1001425855513308,356,385
0.11683301647655261,367,413
0.1335234474017744,379,442
0.1502138783269962,395,475
0.166904309252218,412,508
0.18359474017743982,422,526
0.2002851711026616,446,567
0.2169756020278834,485,624
0.23366603295310523,523,672
0.250356463878327,535,684
0.2670468948035488,573,725
0.28373732572877064,616,765
0.3004277566539924,660,802
0.31711818757921423,740,856
0.333808618504436,794,889
0.3504990494296578,855,917
0.36718948035487964,919,944
0.3838799112801014,982,965
0.4005703422053232,1018,975
0.41726077313054505,1084,988
0.4339512040557668,1155,996
0.45064163498098864,1261,1000
0.46733206590621046,1331,995
0.4840224968314322,1364,991
0.500712927756654,1434,979
0.5174033586818758,1497,963
0.5340937896070976,1591,930
0.5507842205323195,1648,906
0.5674746514575413,1679,890
0.584165082382763,1757,843
0.6008555133079848,1805,809
0.6175459442332066,1850,773
0.6342363751584285,1890,736
0.6509268060836503,1924,701
0.667617237008872,1954,667
0.6843076679340938,1970,648
0.7009980988593156,2007,598
0.7176885297845375,2030,563
0.7343789607097593,2048,534
0.7510693916349811,2064,505
0.7677598225602028,2077,480
0.7844502534854246,2083,467
0.8011406844106465,2093,446
0.8178311153358683,2101,428
0.8345215462610901,2110,403
0.8512119771863118,2114,394
0.8679024081115336,2118,385
0.8845928390367555,2119,382
0.9012832699619773,2120,379
0.9179737008871991,2120,379
0.9346641318124209,2119,382
0.9513545627376426,2114,393
0.9680449936628645,2110,405
0.9847354245880863,2104,418
1.001425855513308,2101,428
1.0181162864385298,2088,457
1.0348067173637516,2078,478
1.0514971482889734,2064,505
1.0681875792141953,2048,533
1.084878010139417,2031,563
1.101568441064639,2021,578
1.1182588719898607,1987,626
1.1349493029150826,1972,644
1.1516397338403044,1928,696
1.168330164765526,1894,732
1.1850205956907478,1858,765
1.2017110266159696,1837,784
1.2184014575411914,1774,831
