t,X,Y,x,y
0.0166944444444444,1271,1064,324,-344
0.0333888888888888,1254,1079,307,-359
0.0500833333333333,1159,1143,212,-423
0.0667777777777777,1126,1157,179,-437
0.0834722222222222,1108,1164,161,-444
0.1001666666666666,1079,1175,132,-455
0.1168611111111111,1047,1181,100,-461
0.1335555555555555,1036,1182,89,-462
0.15025,937,1193,-10,-473
0.1669444444444444,889,1188,-58,-468
0.1836388888888889,873,1189,-74,-469
0.2003333333333333,832,1182,-115,-462
0.2170277777777778,806,1171,-141,-451
0.2337222222222222,795,1170,-152,-450
0.2504166666666667,774,1160,-173,-440
0.2671111111111111,748,1149,-199,-429
0.2838055555555556,712,1129,-235,-409
0.3005,704,1128,-243,-408
0.3171944444444444,684,1113,-263,-393
0.3338888888888889,665,1099,-282,-379
0.3505833333333333,658,1095,-289,-375
0.3672777777777778,640,1081,-307,-361
0.3839722222222222,628,1068,-319,-348
0.4006666666666667,606,1047,-341,-327
0.4173611111111111,594,1034,-353,-314
0.4340555555555556,581,1024,-366,-304
0.45075,574,1016,-373,-296
0.4674444444444445,568,1001,-379,-281
0.4841388888888889,556,996,-391,-276
0.5008333333333334,552,984,-395,-264
0.5175277777777778,547,976,-400,-256
0.5342222222222223,539,964,-408,-244
0.5509166666666667,537,961,-410,-241
0.5676111111111112,534,952,-413,-232
0.5843055555555556,529,948,-418,-228
0.6010000000000001,528,946,-419,-226
0.6176944444444445,526,938,-421,-218
0.6343888888888889,527,936,-420,-216
0.6510833333333333,525,937,-422,-217
0.6677777777777778,525,937,-422,-217
0.6844722222222223,525,936,-422,-216
0.7011666666666667,527,937,-420,-217
0.7178611111111112,528,943,-419,-223
0.7345555555555556,533,947,-414,-227
0.7512500000000001,534,952,-413,-232
0.7679444444444445,536,955,-411,-235
0.784638888888889,542,964,-405,-244
0.8013333333333335,545,971,-402,-251
0.8180277777777778,550,981,-397,-261
0.8347222222222223,555,985,-392,-265
0.8514166666666667,567,1001,-380,-281
0.8681111111111112,567,1010,-380,-290
0.8848055555555556,581,1018,-366,-298
0.9015,589,1032,-358,-312
0.9181944444444444,604,1046,-343,-326
0.934888888888889,610,1055,-337,-335
0.9515833333333334,624,1064,-323,-344
0.968277777777778,635,1078,-312,-358
0.9849722222222222,649,1089,-298,-369
1.0016666666666667,665,1101,-282,-381
1.0183611111111113,680,1110,-267,-390
1.0350555555555556,705,1128,-242,-408
1.0517500000000002,714,1132,-233,-412
1.0684444444444443,733,1144,-214,-424
1.0851388888888889,763,1157,-184,-437
1.1018333333333334,785,1164,-162,-444
1.1185277777777778,804,1171,-143,-451
1.1352222222222224,817,1175,-130,-455
1.1519166666666667,836,1182,-111,-462
1.1686111111111113,850,1182,-97,-462
1.1853055555555556,884,1188,-63,-468
1.2020000000000002,905,1192,-42,-472
1.2186944444444443,927,1193,-20,-473
1.235388888888889,937,1193,-10,-473
1.2520833333333334,960,1192,13,-472
1.2687777777777778,994,1191,47,-471
1.2854722222222223,1016,1188,69,-468
1.3021666666666667,1036,1182,89,-462
1.3188611111111113,1057,1180,110,-460
1.3355555555555556,1077,1176,130,-456
1.3522500000000002,1095,1167,148,-447
1.3689444444444443,1114,1162,167,-442
1.385638888888889,1134,1157,187,-437
1.4023333333333334,1140,1152,193,-432
1.419027777777778,1156,1143,209,-423
1.4357222222222223,1180,1134,233,-414
1.4524166666666667,1190,1124,243,-404
1.4691111111111113,1205,1116,258,-396
1.4858055555555556,1223,1104,276,-384
1.5025000000000002,1227,1100,280,-380
1.5191944444444443,1241,1090,294,-370
1.535888888888889,1249,1084,302,-364
1.5525833333333334,1259,1076,312,-356
1.569277777777778,1264,1069,317,-349
1.5859722222222223,1274,1065,327,-345
1.602666666666667,1272,1060,325,-340
1.6193611111111113,1280,1057,333,-337
1.6360555555555556,1286,1048,339,-328
1.6527500000000002,1285,1048,338,-328
1.6694444444444445,1292,1044,345,-324
1.686138888888889,1293,1043,346,-323
1.7028333333333334,1296,1041,349,-321
1.719527777777778,1295,1041,348,-321
1.7362222222222223,1294,1042,347,-322
1.752916666666667,1295,1040,348,-320
1.7696111111111112,1296,1041,349,-321
1.7863055555555556,1292,1045,345,-325
1.803,1288,1047,341,-327
1.8196944444444445,1284,1052,337,-332
1.836388888888889,1280,1056,333,-336
1.8530833333333336,1280,1056,333,-336
1.869777777777778,1271,1064,324,-344
1.8864722222222223,1269,1070,322,-350
1.903166666666667,1264,1071,317,-351
1.9198611111111112,1253,1080,306,-360
1.936555555555556,1241,1091,294,-371
1.95325,1231,1096,284,-376
1.9699444444444445,1223,1105,276,-385
1.986638888888889,1218,1109,271,-389
2.0033333333333334,1206,1116,259,-396
2.020027777777778,1197,1121,250,-401
2.0367222222222225,1183,1129,236,-409
2.0534166666666667,1174,1134,227,-414
2.0701111111111112,1164,1139,217,-419
2.086805555555556,1145,1152,198,-432
2.1035000000000004,1129,1158,182,-438
2.1201944444444445,1113,1162,166,-442
2.136888888888889,1107,1167,160,-447
2.1535833333333336,1090,1171,143,-451
2.1702777777777778,1065,1176,118,-456
2.1869722222222223,1057,1180,110,-460
2.203666666666667,1032,1184,85,-464
2.2203611111111115,1015,1188,68,-468
2.2370555555555556,999,1190,52,-470
2.25375,983,1192,36,-472
2.2704444444444447,963,1192,16,-472
2.2871388888888893,944,1192,-3,-472
2.3038333333333334,930,1191,-17,-471
2.320527777777778,912,1192,-35,-472
2.3372222222222225,887,1188,-60,-468
2.3539166666666667,871,1188,-76,-468
2.3706111111111112,856,1185,-91,-465
2.387305555555556,845,1183,-102,-463
2.4040000000000004,823,1178,-124,-458
2.4206944444444445,816,1177,-131,-457
