#Perturbations,#Incorrect relationship mean,#Incorrect relationship std,#Incorrect gen relationship mean,#Incorrect gen relationship std,Noise Level
1,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0
1,44.75,2.165063509461097,6.0,1.7320508075688772,0.0001
6,11.5,4.272001872658765,0.0,0.0,0.0001
11,5.25,1.299038105676658,0.0,0.0,0.0001
16,2.75,1.299038105676658,0.0,0.0,0.0001
21,1.75,2.0463381929681126,0.0,0.0,0.0001
26,1.25,1.0897247358851685,0.0,0.0,0.0001
31,0.5,0.5,0.0,0.0,0.0001
36,0.0,0.0,0.0,0.0,0.0001
41,0.0,0.0,0.0,0.0,0.0001
46,0.0,0.0,0.0,0.0,0.0001
51,0.0,0.0,0.0,0.0,0.0001
56,0.0,0.0,0.0,0.0,0.0001
61,0.0,0.0,0.0,0.0,0.0001
66,0.0,0.0,0.0,0.0,0.0001
71,0.0,0.0,0.0,0.0,0.0001
76,0.0,0.0,0.0,0.0,0.0001
81,0.0,0.0,0.0,0.0,0.0001
86,0.0,0.0,0.0,0.0,0.0001
91,0.0,0.0,0.0,0.0,0.0001
96,0.0,0.0,0.0,0.0,0.0001
100,0.0,0.0,0.0,0.0,0.0001
1,47.25,1.299038105676658,8.25,1.299038105676658,0.001
6,27.0,6.519202405202649,0.25,0.4330127018922193,0.001
11,18.75,2.48746859276655,0.0,0.0,0.001
16,14.75,2.384848003542364,0.0,0.0,0.001
21,11.75,1.299038105676658,0.0,0.0,0.001
26,11.5,3.3541019662496847,0.0,0.0,0.001
31,10.25,2.48746859276655,0.0,0.0,0.001
36,8.0,2.5495097567963922,0.0,0.0,0.001
41,6.5,1.8027756377319946,0.0,0.0,0.001
46,5.75,1.0897247358851685,0.0,0.0,0.001
51,3.5,0.5,0.0,0.0,0.001
56,3.75,1.479019945774904,0.0,0.0,0.001
61,2.75,0.82915619758885,0.0,0.0,0.001
66,3.0,2.23606797749979,0.0,0.0,0.001
71,1.5,1.5,0.0,0.0,0.001
76,0.75,0.82915619758885,0.0,0.0,0.001
81,0.25,0.4330127018922193,0.0,0.0,0.001
86,0.25,0.4330127018922193,0.0,0.0,0.001
91,0.5,0.5,0.0,0.0,0.001
96,0.5,0.5,0.0,0.0,0.001
100,0.0,0.0,0.0,0.0,0.001
1,48.75,0.4330127018922193,9.75,0.4330127018922193,0.01
6,38.25,1.479019945774904,0.75,0.4330127018922193,0.01
11,33.25,3.031088913245535,0.25,0.4330127018922193,0.01
16,33.75,4.493050188902857,0.5,0.5,0.01
21,27.75,3.832427429188973,0.0,0.0,0.01
26,26.0,3.6742346141747673,0.0,0.0,0.01
31,24.25,4.02336923485777,0.0,0.0,0.01
36,21.0,4.898979485566356,0.0,0.0,0.01
41,19.75,3.344772040064913,0.0,0.0,0.01
46,18.75,3.344772040064913,0.0,0.0,0.01
51,17.75,2.947456530637899,0.0,0.0,0.01
56,16.75,2.5860201081971503,0.0,0.0,0.01
61,15.25,2.48746859276655,0.0,0.0,0.01
66,13.75,1.299038105676658,0.0,0.0,0.01
71,11.75,0.82915619758885,0.0,0.0,0.01
76,11.75,0.82915619758885,0.0,0.0,0.01
81,10.5,2.0615528128088303,0.0,0.0,0.01
86,10.5,1.118033988749895,0.0,0.0,0.01
91,10.25,1.479019945774904,0.0,0.0,0.01
96,9.75,1.479019945774904,0.0,0.0,0.01
100,8.75,0.4330127018922193,0.0,0.0,0.01
