#Perturbations,#Incorrect relationship mean,#Incorrect relationship std,#Incorrect gen relationship mean,#Incorrect gen relationship std,Noise Level
1,47.25,1.299038105676658,8.25,1.299038105676658,0.001
6,27.0,6.519202405202649,0.25,0.4330127018922193,0.001
11,18.75,2.48746859276655,0.0,0.0,0.001
16,14.75,2.384848003542364,0.0,0.0,0.001
21,11.75,1.299038105676658,0.0,0.0,0.001
26,11.5,3.3541019662496847,0.0,0.0,0.001
31,10.25,2.48746859276655,0.0,0.0,0.001
36,8.0,2.5495097567963922,0.0,0.0,0.001
41,6.5,1.8027756377319946,0.0,0.0,0.001
46,5.75,1.0897247358851685,0.0,0.0,0.001
51,3.5,0.5,0.0,0.0,0.001
56,3.75,1.479019945774904,0.0,0.0,0.001
61,2.75,0.82915619758885,0.0,0.0,0.001
66,3.0,2.23606797749979,0.0,0.0,0.001
71,1.5,1.5,0.0,0.0,0.001
76,0.75,0.82915619758885,0.0,0.0,0.001
81,0.25,0.4330127018922193,0.0,0.0,0.001
86,0.25,0.4330127018922193,0.0,0.0,0.001
91,0.5,0.5,0.0,0.0,0.001
96,0.5,0.5,0.0,0.0,0.001
100,0.0,0.0,0.0,0.0,0.001
