#Perturbations,#Incorrect relationship mean,#Incorrect relationship std,#Incorrect gen relationship mean,#Incorrect gen relationship std,Noise Level
1,49.0,0.0,10.0,0.0,0.01
6,40.0,0.0,1.0,0.0,0.01
11,35.0,0.0,0.0,0.0,0.01
16,36.0,0.0,1.0,0.0,0.01
21,32.0,0.0,0.0,0.0,0.01
26,30.0,0.0,0.0,0.0,0.01
31,26.0,0.0,0.0,0.0,0.01
36,21.0,0.0,0.0,0.0,0.01
41,20.0,0.0,0.0,0.0,0.01
46,21.0,0.0,0.0,0.0,0.01
51,19.0,0.0,0.0,0.0,0.01
56,16.0,0.0,0.0,0.0,0.01
61,16.0,0.0,0.0,0.0,0.01
66,12.0,0.0,0.0,0.0,0.01
71,11.0,0.0,0.0,0.0,0.01
76,12.0,0.0,0.0,0.0,0.01
81,9.0,0.0,0.0,0.0,0.01
86,11.0,0.0,0.0,0.0,0.01
91,11.0,0.0,0.0,0.0,0.01
96,10.0,0.0,0.0,0.0,0.01
100,9.0,0.0,0.0,0.0,0.01
