#Perturbations,#Incorrect relationship mean,#Incorrect relationship std,#Incorrect gen relationship mean,#Incorrect gen relationship std,Noise Level
1,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0
41,0.0,0.0,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0
61,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0
71,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0,0.0
91,0.0,0.0,0.0,0.0,0.0
96,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,0.0,0.0,0.0
1,33.5,0.5,0.0,0.0,0.0001
6,0.5,0.8660254037844386,0.0,0.0,0.0001
11,0.0,0.0,0.0,0.0,0.0001
16,0.0,0.0,0.0,0.0,0.0001
21,0.0,0.0,0.0,0.0,0.0001
26,0.0,0.0,0.0,0.0,0.0001
31,0.0,0.0,0.0,0.0,0.0001
36,0.0,0.0,0.0,0.0,0.0001
41,0.0,0.0,0.0,0.0,0.0001
46,0.0,0.0,0.0,0.0,0.0001
51,0.0,0.0,0.0,0.0,0.0001
56,0.0,0.0,0.0,0.0,0.0001
61,0.0,0.0,0.0,0.0,0.0001
66,0.0,0.0,0.0,0.0,0.0001
71,0.0,0.0,0.0,0.0,0.0001
76,0.0,0.0,0.0,0.0,0.0001
81,0.0,0.0,0.0,0.0,0.0001
86,0.0,0.0,0.0,0.0,0.0001
91,0.0,0.0,0.0,0.0,0.0001
96,0.0,0.0,0.0,0.0,0.0001
100,0.0,0.0,0.0,0.0,0.0001
1,39.25,0.4330127018922193,0.5,0.8660254037844386,0.001
6,13.0,1.224744871391589,0.0,0.0,0.001
11,6.75,2.7726341266023544,0.0,0.0,0.001
16,4.75,3.031088913245535,0.0,0.0,0.001
21,2.5,0.5,0.0,0.0,0.001
26,1.5,0.5,0.0,0.0,0.001
31,0.75,0.82915619758885,0.0,0.0,0.001
36,0.75,0.82915619758885,0.0,0.0,0.001
41,1.0,1.0,0.0,0.0,0.001
46,0.5,0.5,0.0,0.0,0.001
51,1.0,1.0,0.0,0.0,0.001
56,0.75,0.82915619758885,0.0,0.0,0.001
61,0.0,0.0,0.0,0.0,0.001
66,0.0,0.0,0.0,0.0,0.001
71,0.0,0.0,0.0,0.0,0.001
76,0.0,0.0,0.0,0.0,0.001
81,0.0,0.0,0.0,0.0,0.001
86,0.0,0.0,0.0,0.0,0.001
91,0.0,0.0,0.0,0.0,0.001
96,0.0,0.0,0.0,0.0,0.001
100,0.0,0.0,0.0,0.0,0.001
1,40.75,1.299038105676658,2.0,1.7320508075688772,0.01
6,31.5,2.692582403567252,0.0,0.0,0.01
11,26.5,3.2015621187164243,0.0,0.0,0.01
16,23.0,3.6742346141747673,0.0,0.0,0.01
21,18.0,3.391164991562634,0.0,0.0,0.01
26,16.75,3.2691742076555053,0.0,0.0,0.01
31,15.0,2.9154759474226504,0.0,0.0,0.01
36,12.25,2.48746859276655,0.0,0.0,0.01
41,11.25,2.277608394786075,0.0,0.0,0.01
46,9.0,1.224744871391589,0.0,0.0,0.01
51,9.5,1.6583123951777,0.0,0.0,0.01
56,8.5,1.118033988749895,0.0,0.0,0.01
61,7.0,1.4142135623730951,0.0,0.0,0.01
66,6.5,1.5,0.0,0.0,0.01
71,5.5,1.118033988749895,0.0,0.0,0.01
76,5.0,1.0,0.0,0.0,0.01
81,4.25,0.4330127018922193,0.0,0.0,0.01
86,4.5,0.5,0.0,0.0,0.01
91,4.5,0.5,0.0,0.0,0.01
96,4.5,0.5,0.0,0.0,0.01
100,5.0,0.0,0.0,0.0,0.01
