#Perturbations,#Incorrect relationship mean,#Incorrect relationship std,#Incorrect gen relationship mean,#Incorrect gen relationship std,Noise Level
1,40.0,0.0,1.0,0.0,0.01
6,36.0,0.0,0.0,0.0,0.01
11,24.0,0.0,0.0,0.0,0.01
16,20.0,0.0,0.0,0.0,0.01
21,19.0,0.0,0.0,0.0,0.01
26,20.0,0.0,0.0,0.0,0.01
31,16.0,0.0,0.0,0.0,0.01
36,10.0,0.0,0.0,0.0,0.01
41,9.0,0.0,0.0,0.0,0.01
46,8.0,0.0,0.0,0.0,0.01
51,10.0,0.0,0.0,0.0,0.01
56,8.0,0.0,0.0,0.0,0.01
61,5.0,0.0,0.0,0.0,0.01
66,4.0,0.0,0.0,0.0,0.01
71,4.0,0.0,0.0,0.0,0.01
76,4.0,0.0,0.0,0.0,0.01
81,4.0,0.0,0.0,0.0,0.01
86,4.0,0.0,0.0,0.0,0.01
91,4.0,0.0,0.0,0.0,0.01
96,4.0,0.0,0.0,0.0,0.01
100,5.0,0.0,0.0,0.0,0.01
