#Perturbations,#Incorrect relationship mean,#Incorrect relationship std,#Incorrect gen relationship mean,#Incorrect gen relationship std,Noise Level
1,4.0,0.7071067811865476,1.25,0.82915619758885,0.01
6,0.5,0.8660254037844386,0.0,0.0,0.01
11,0.0,0.0,0.0,0.0,0.01
16,0.0,0.0,0.0,0.0,0.01
21,0.0,0.0,0.0,0.0,0.01
26,0.0,0.0,0.0,0.0,0.01
31,0.0,0.0,0.0,0.0,0.01
36,0.0,0.0,0.0,0.0,0.01
41,0.0,0.0,0.0,0.0,0.01
46,0.0,0.0,0.0,0.0,0.01
51,0.0,0.0,0.0,0.0,0.01
56,0.0,0.0,0.0,0.0,0.01
61,0.0,0.0,0.0,0.0,0.01
66,0.0,0.0,0.0,0.0,0.01
71,0.0,0.0,0.0,0.0,0.01
76,0.0,0.0,0.0,0.0,0.01
81,0.0,0.0,0.0,0.0,0.01
86,0.0,0.0,0.0,0.0,0.01
91,0.0,0.0,0.0,0.0,0.01
96,0.0,0.0,0.0,0.0,0.01
100,0.0,0.0,0.0,0.0,0.01
