Frame,X,Y
1,1010,821
2,1010,821
3,1010,821
4,1010,821
5,1010,821
6,1010,821
7,1010,821
8,1010,821
9,1010,821
10,1010,821
11,1010,821
12,1010,821
13,1010,821
14,1010,821
15,1010,821
16,1010,821
17,1010,821
18,1010,821
19,1010,821
20,1010,821
21,1010,821
22,1010,821
23,1010,821
24,1010,821
25,1010,821
26,1010,821
27,1010,821
28,1007,821
29,1007,821
30,1007,821
31,1007,821
32,1007,821
33,1007,821
34,1007,821
35,1007,821
36,1007,821
37,1007,821
38,1007,821
39,1007,821
40,1007,821
41,1007,821
42,1007,821
43,1007,821
44,1007,821
45,1007,821
46,1007,821
47,1007,821
48,1007,821
49,1007,821
50,1007,821
51,1007,821
52,1007,821
53,1007,821
54,1007,821
55,1007,821
56,1007,821
57,1007,821
58,1007,821
59,1007,821
60,1007,821
61,1007,821
62,1007,821
63,1007,821
64,1007,821
65,1007,821
66,1007,821
67,1007,821
68,1007,821
69,1007,821
70,1007,821
71,1007,821
72,1007,821
73,1007,821
74,1007,821
75,1007,821
76,1007,821
77,1007,821
78,1007,821
79,1007,821
80,1007,821
81,1007,821
82,1007,821
83,1007,821
84,1007,821
85,1007,821
86,1007,821
87,1007,821
88,1007,821
89,1007,821
90,1007,821
91,1007,821
92,1007,821
93,1007,821
94,1007,821
95,1007,817
96,1007,817
97,1007,817
98,1007,817
99,1007,817
100,1007,816
101,1007,816
102,1007,816
103,1007,815
104,1007,815
105,1007,815
106,1007,817
107,1007,817
108,1007,817
109,1007,816
110,1007,816
111,1007,816
112,1007,815
113,1007,815
114,1007,815
115,1007,815
116,1007,815
117,1007,819
118,1007,819
119,1007,819
120,1007,819
121,1007,819
122,1007,819
123,1007,819
124,1007,819
125,1007,819
126,1007,819
127,1007,819
128,1007,819
129,1007,819
130,1007,819
131,1007,819
132,1007,819
133,1007,819
134,1007,819
135,1007,819
136,1007,819
137,1007,819
138,1007,819
139,1007,819
140,1007,819
141,1007,819
142,1007,819
143,1007,819
144,1007,819
145,1007,819
146,1007,819
147,1007,819
148,1007,819
149,1007,819
150,1007,819
151,1007,821
152,1007,821
153,1007,821
154,1007,821
155,1007,821
156,1007,821
157,1007,821
158,1007,821
159,1007,821
160,1007,821
161,1007,821
162,1007,821
163,1007,821
164,1007,821
165,1007,821
166,1007,821
167,1007,821
168,1007,821
169,1007,821
170,1007,821
171,1007,821
172,1007,821
173,1007,821
174,1007,821
175,1007,821
176,1007,821
177,1007,821
178,1007,821
179,1007,821
180,1007,821
181,1007,821
182,1007,821
183,1007,821
184,1007,821
185,1007,821
186,1007,821
187,1007,821
188,1007,821
189,1007,821
190,1007,821
191,1007,821
192,1007,821
193,1007,821
194,1007,821
195,1007,821
196,1007,821
197,1007,821
198,1007,821
199,1007,821
200,1007,821
201,1007,821
202,1007,821
203,1007,821
204,1007,821
205,1007,821
206,1007,821
207,1007,821
208,1007,821
209,1007,821
210,1007,821
211,1007,821
212,1007,821
213,1007,821
214,1007,821
215,999,832
216,982,855
217,961,876
218,961,876
219,919,916
220,899,932
221,872,952
222,835,972
223,821,978
224,778,999
225,761,1006
226,718,1016
227,686,1022
228,666,1026
229,636,1025
230,602,1025
231,574,1024
232,537,1021
233,504,1015
234,473,1003
235,447,996
236,416,983
237,386,969
238,347,945
239,337,937
240,312,920
241,293,904
242,273,882
243,256,865
244,240,844
245,221,815
246,208,796
247,196,777
248,191,768
249,185,752
250,177,735
251,168,712
252,167,705
253,159,689
254,154,675
255,151,665
256,151,648
257,151,648
258,150,640
259,149,629
260,144,620
261,145,616
262,142,613
263,146,613
264,145,609
265,146,610
266,146,608
267,146,612
268,144,612
269,144,620
270,146,626
271,146,633
272,146,637
273,149,652
274,151,664
275,154,672
276,156,681
277,164,699
278,169,718
279,175,733
280,184,759
281,191,767
282,200,789
283,216,814
284,223,826
285,240,845
286,252,863
287,273,884
288,281,888
289,314,920
290,336,937
291,360,953
292,389,968
293,418,983
294,440,996
295,457,1000
296,504,1016
297,535,1020
298,589,1026
299,604,1026
300,633,1026
301,668,1024
302,714,1015
303,728,1013
304,760,1004
305,775,1000
306,821,980
307,848,966
308,873,952
309,899,932
310,922,912
311,933,905
312,959,881
313,975,859
314,992,841
315,1005,820
316,1018,800
317,1030,780
318,1040,764
319,1044,752
320,1055,727
321,1056,721
322,1064,698
323,1071,681
324,1073,671
325,1076,663
326,1079,648
327,1079,641
328,1080,634
329,1082,623
330,1082,619
331,1086,616
332,1085,612
333,1085,608
334,1085,606
335,1085,608
336,1085,612
337,1085,615
338,1084,618
339,1083,623
340,1082,632
341,1080,640
342,1079,648
343,1077,658
344,1073,672
345,1071,682
346,1065,697
347,1064,705
348,1055,728
349,1047,744
350,1040,764
351,1031,779
352,1016,799
353,1004,820
354,992,838
355,976,857
356,960,880
357,942,897
358,911,924
359,897,935
360,874,948
361,847,964
362,820,980
363,793,991
364,761,1003
365,732,1014
366,702,1021
367,668,1025
368,639,1024
369,605,1028
370,584,1027
371,537,1020
372,504,1016
373,476,1006
374,443,996
375,400,975
376,389,968
377,360,953
378,337,938
379,314,921
380,292,902
381,264,872
382,258,863
383,241,844
384,227,826
385,215,805
386,200,792
387,191,766
388,185,752
389,177,736
390,171,719
391,165,704
392,160,687
393,154,668
394,152,663
395,152,651
396,152,642
397,150,633
398,150,628
399,147,620
400,145,615
401,144,612
402,147,610
403,143,608
404,143,608
405,145,612
406,144,612
407,144,616
408,145,621
409,146,628
410,147,636
411,152,647
412,151,652
413,155,667
414,156,675
415,161,694
416,166,707
417,172,726
418,179,741
419,186,760
420,199,777
421,200,783
422,220,815
423,232,832
424,248,852
425,264,872
426,295,903
427,295,903
428,326,927
429,347,945
430,376,964
431,399,974
432,445,996
433,445,996
434,488,1010
435,517,1018
436,551,1023
437,584,1028
438,619,1026
439,648,1027
440,681,1021
441,714,1016
442,745,1009
443,772,1001
444,803,988
445,832,974
446,860,957
447,887,944
448,907,926
449,921,915
450,949,890
451,968,868
452,985,850
453,1000,829
454,1013,812
455,1030,780
456,1037,767
457,1042,757
458,1051,738
459,1061,712
460,1063,706
461,1067,691
462,1072,680
463,1078,662
464,1078,657
465,1079,647
466,1081,636
467,1081,628
468,1081,622
469,1079,617
