,P_G_1,P_G_2,P_L_2,P_L_1,P_T_1,P_T_2
"sin( Phi_G_1-Phi_G_1 -gamma_0,0 )",0.0,,,,,
"sin( Phi_G_1-Phi_G_2 -gamma_0,1 )",0.0,0.0,,,,
"sin( Phi_G_1-Phi_T_1 -gamma_0,2 )",1.0,,,,1.0,
"sin( Phi_G_1-Phi_T_2 -gamma_0,3 )",0.0,,,,,1.0
"sin( Phi_G_1-Phi_L_1 -gamma_0,4 )",0.0,,,1.0,,
"sin( Phi_G_1-Phi_L_2 -gamma_0,5 )",0.0,,1.0,,,
"sin( Phi_G_2-Phi_G_2 -gamma_1,1 )",,0.0,,,,
"sin( Phi_G_2-Phi_T_1 -gamma_1,2 )",,0.0,,,1.0,
"sin( Phi_G_2-Phi_T_2 -gamma_1,3 )",,1.0,,,,1.0
"sin( Phi_G_2-Phi_L_1 -gamma_1,4 )",,0.0,,1.0,,
"sin( Phi_G_2-Phi_L_2 -gamma_1,5 )",,0.0,1.0,,,
"sin( Phi_T_1-Phi_L_2 -gamma_2,5 )",,,1.0,,1.0,
"sin( Phi_T_2-Phi_L_2 -gamma_3,5 )",,,1.0,,,1.0
"sin( Phi_L_1-Phi_L_2 -gamma_4,5 )",,,0.0,0.0,,
"sin( Phi_L_2-Phi_L_2 -gamma_5,5 )",,,0.0,,,
"sin( Phi_T_1-Phi_L_1 -gamma_2,4 )",,,,1.0,1.0,
"sin( Phi_T_2-Phi_L_1 -gamma_3,4 )",,,,0.0,,1.0
"sin( Phi_L_1-Phi_L_1 -gamma_4,4 )",,,,0.0,,
"sin( Phi_T_1-Phi_T_1 -gamma_2,2 )",,,,,0.0,
"sin( Phi_T_1-Phi_T_2 -gamma_2,3 )",,,,,1.0,1.0
"sin( Phi_T_2-Phi_T_2 -gamma_3,3 )",,,,,,0.0
