#Perturbations,#Incorrect relationship mean,#Incorrect relationship std,#Incorrect gen relationship mean,#Incorrect gen relationship std,Noise Level
1,44.75,2.165063509461097,6.0,1.7320508075688772,0.0001
6,11.5,4.272001872658765,0.0,0.0,0.0001
11,5.25,1.299038105676658,0.0,0.0,0.0001
16,2.75,1.299038105676658,0.0,0.0,0.0001
21,1.75,2.0463381929681126,0.0,0.0,0.0001
26,1.25,1.0897247358851685,0.0,0.0,0.0001
31,0.5,0.5,0.0,0.0,0.0001
36,0.0,0.0,0.0,0.0,0.0001
41,0.0,0.0,0.0,0.0,0.0001
46,0.0,0.0,0.0,0.0,0.0001
51,0.0,0.0,0.0,0.0,0.0001
56,0.0,0.0,0.0,0.0,0.0001
61,0.0,0.0,0.0,0.0,0.0001
66,0.0,0.0,0.0,0.0,0.0001
71,0.0,0.0,0.0,0.0,0.0001
76,0.0,0.0,0.0,0.0,0.0001
81,0.0,0.0,0.0,0.0,0.0001
86,0.0,0.0,0.0,0.0,0.0001
91,0.0,0.0,0.0,0.0,0.0001
96,0.0,0.0,0.0,0.0,0.0001
100,0.0,0.0,0.0,0.0,0.0001
