#Perturbations,#Incorrect relationship mean,#Incorrect relationship std,#Incorrect gen relationship mean,#Incorrect gen relationship std,Noise Level
1,2.0,0.0,0.0,0.0,0.0001
6,2.0,0.0,0.0,0.0,0.0001
11,0.0,0.0,0.0,0.0,0.0001
16,0.0,0.0,0.0,0.0,0.0001
21,0.0,0.0,0.0,0.0,0.0001
26,0.0,0.0,0.0,0.0,0.0001
31,0.0,0.0,0.0,0.0,0.0001
36,0.0,0.0,0.0,0.0,0.0001
41,0.0,0.0,0.0,0.0,0.0001
46,0.0,0.0,0.0,0.0,0.0001
51,0.0,0.0,0.0,0.0,0.0001
56,0.0,0.0,0.0,0.0,0.0001
61,0.0,0.0,0.0,0.0,0.0001
66,0.0,0.0,0.0,0.0,0.0001
71,0.0,0.0,0.0,0.0,0.0001
76,0.0,0.0,0.0,0.0,0.0001
81,0.0,0.0,0.0,0.0,0.0001
86,0.0,0.0,0.0,0.0,0.0001
91,0.0,0.0,0.0,0.0,0.0001
96,0.0,0.0,0.0,0.0,0.0001
100,0.0,0.0,0.0,0.0,0.0001
