#Perturbations,#Incorrect relationship mean,#Incorrect relationship std,#Incorrect gen relationship mean,#Incorrect gen relationship std,Noise Level
1,40.75,1.299038105676658,2.0,1.7320508075688772,0.01
6,31.5,2.692582403567252,0.0,0.0,0.01
11,26.5,3.2015621187164243,0.0,0.0,0.01
16,23.0,3.6742346141747673,0.0,0.0,0.01
21,18.0,3.391164991562634,0.0,0.0,0.01
26,16.75,3.2691742076555053,0.0,0.0,0.01
31,15.0,2.9154759474226504,0.0,0.0,0.01
36,12.25,2.48746859276655,0.0,0.0,0.01
41,11.25,2.277608394786075,0.0,0.0,0.01
46,9.0,1.224744871391589,0.0,0.0,0.01
51,9.5,1.6583123951777,0.0,0.0,0.01
56,8.5,1.118033988749895,0.0,0.0,0.01
61,7.0,1.4142135623730951,0.0,0.0,0.01
66,6.5,1.5,0.0,0.0,0.01
71,5.5,1.118033988749895,0.0,0.0,0.01
76,5.0,1.0,0.0,0.0,0.01
81,4.25,0.4330127018922193,0.0,0.0,0.01
86,4.5,0.5,0.0,0.0,0.01
91,4.5,0.5,0.0,0.0,0.01
96,4.5,0.5,0.0,0.0,0.01
100,5.0,0.0,0.0,0.0,0.01
